x,y
0.0000,5.9934
0.2041,5.2337
0.4082,7.3158
0.6122,9.5767
0.8163,6.5725
1.0204,7.0827
1.2245,11.2197
1.4286,10.1063
1.6327,8.1427
1.8367,10.6770
2.0408,9.1752
2.2449,9.6808
2.4490,11.6064
2.6531,7.8061
2.8571,8.6930
3.0612,11.5285
3.2653,11.1376
3.4694,14.3020
3.6735,12.3676
3.8776,11.8693
4.0816,18.1354
4.2857,15.2627
4.4898,16.3595
4.6939,13.8852
4.8980,16.1561
5.1020,17.9769
5.3061,15.9633
5.5102,19.5269
5.7143,18.0844
5.9184,19.2125
6.1224,19.1027
6.3265,24.5209
6.5306,21.2995
6.7347,19.7213
6.9388,23.9920
7.1429,20.4155
7.3469,23.7851
7.5510,19.9582
7.7551,21.7314
7.9592,25.2917
8.1633,26.8851
8.3673,26.2611
8.5714,26.1973
8.7755,26.3366
8.9796,24.4919
9.1837,26.5195
9.3878,27.5481
9.5918,31.0938
9.7959,30.1770
10.0000,26.4739
